      0 noerr        1518  1 N
  18119 noerr        22 22 N     + 24.50398 g  

  18119 noerr         0 22  
  18319 noerr        22 22 N     + 24.50398 g  

  18319 noerr         0 22  
  18519 noerr        22 22 N     + 24.50398 g  

  18519 noerr         0 22  
  18719 noerr        22 22 N     + 24.50398 g  

  18719 noerr         0 22  
  18919 noerr        22 22 N     + 24.50398 g  

  18919 noerr         0 22  
  19120 noerr        22 22 N     + 24.50398 g  

  19120 noerr         0 22  
  19320 noerr        22 22 N     + 24.50398 g  

  19320 noerr         0 22  
  19520 noerr        22 22 N     + 24.50398 g  

  19520 noerr         0 22  
  19726 noerr        22 22 N     + 24.50398 g  

  19734 noerr         0 22  
  19920 noerr        22 22 N     + 24.50398 g  

  19920 noerr         0 22  
  20120 noerr        22 22 N     + 24.50398 g  

  20120 noerr         0 22  
  20320 noerr        22 22 N     + 24.50398 g  

  20320 noerr         0 22  
  20520 noerr        22 22 N     + 24.50398 g  

  20520 noerr         0 22  
  20720 noerr        22 22 N     + 24.50398 g  

  20720 noerr         0 22  
  20920 noerr        22 22 N     + 24.50398 g  

  20920 noerr         0 22  
  21120 noerr        22 22 N     + 24.50398 g  

  21120 noerr         0 22  
  21320 noerr        22 22 N     + 24.50398 g  

  21320 noerr         0 22  
  21520 noerr        22 22 N     + 24.50398 g  

  21520 noerr         0 22  
  21720 noerr        22 22 N     + 24.50398 g  

  21720 noerr         0 22  
  21920 noerr        22 22 N     + 24.50398 g  

  21920 noerr         0 22  
  22120 noerr        22 22 N     + 24.50398 g  

  22120 noerr         0 22  
  22320 noerr        22 22 N     + 24.50398 g  

  22320 noerr         0 22  
  22520 noerr        22 22 N     + 24.50398 g  

  22520 noerr         0 22  
  22720 noerr        22 22 N     + 24.50398 g  

  22720 noerr         0 22  
  22920 noerr        22 22 N     + 24.50398 g  

  22920 noerr         0 22  
  23120 noerr        22 22 N     + 24.50398 g  

  23120 noerr         0 22  
  23320 noerr        22 22 N     + 24.50398 g  

  23320 noerr         0 22  
  23520 noerr        22 22 N     + 24.50398 g  

  23520 noerr         0 22  
  23720 noerr        22 22 N     + 24.50398 g  

  23720 noerr         0 22  
  23920 noerr        22 22 N     + 24.50398 g  

  23920 noerr         0 22  
  24120 noerr        22 22 N     + 24.50398 g  

  24120 noerr         0 22  
  24320 noerr        22 22 N     + 24.50398 g  

  24320 noerr         0 22  
  24520 noerr        22 22 N     + 24.50398 g  

  24520 noerr         0 22  
  24720 noerr        22 22 N     + 24.50398 g  

  24720 noerr         0 22  
  24920 noerr        22 22 N     + 24.50398 g  

  24920 noerr         0 22  
  25120 noerr        22 22 N     + 24.50398 g  

  25120 noerr         0 22  
  25320 noerr        22 22 N     + 24.50398 g  

  25320 noerr         0 22  
  25520 noerr        22 22 N     + 24.50398 g  

  25520 noerr         0 22  
  25719 noerr        22 22 N     + 24.50398 g  

  25720 noerr         0 22  
  25919 noerr        22 22 N     + 24.50398 g  

  25920 noerr         0 22  
  26120 noerr        22 22 N     + 24.50398 g  

  26120 noerr         0 22  
  26320 noerr        22 22 N     + 24.50398 g  

  26320 noerr         0 22  
  26520 noerr        22 22 N     + 24.50398 g  

  26520 noerr         0 22  
  26720 noerr        22 22 N     + 24.50398 g  

  26720 noerr         0 22  
  26920 noerr        22 22 N     + 24.50398 g  

  26920 noerr         0 22  
  27119 noerr        22 22 N     + 24.50398 g  

  27120 noerr         0 22  
  27320 noerr        22 22 N     + 24.50398 g  

  27320 noerr         0 22  
  27520 noerr        22 22 N     + 24.50398 g  

  27520 noerr         0 22  
  27720 noerr        22 22 N     + 24.50398 g  

  27720 noerr         0 22  
  27920 noerr        22 22 N     + 24.50398 g  

  27920 noerr         0 22  
  28120 noerr        22 22 N     + 24.50398 g  

  28120 noerr         0 22  
  28320 noerr        22 22 N     + 24.50398 g  

  28320 noerr         0 22  
  28520 noerr        22 22 N     + 24.50398 g  

  28520 noerr         0 22  
  28720 noerr        22 22 N     + 24.50398 g  

  28720 noerr         0 22  
  28920 noerr        22 22 N     + 24.50398 g  

  28920 noerr         0 22  
  29120 noerr        22 22 N     + 24.50398 g  

  29120 noerr         0 22  
  29320 noerr        22 22 N     + 24.50398 g  

  29320 noerr         0 22  
  29520 noerr        22 22 N     + 24.50398 g  

  29520 noerr         0 22  
  29720 noerr        22 22 N     + 24.50398 g  

  29720 noerr         0 22  
  29920 noerr        22 22 N     + 24.50398 g  

  29920 noerr         0 22  
  30120 noerr        22 22 N     + 24.50398 g  

  30120 noerr         0 22  
  30320 noerr        22 22 N     + 24.50398 g  

  30320 noerr         0 22  
  30520 noerr        22 22 N     + 24.50398 g  

  30520 noerr         0 22  
  30720 noerr        22 22 N     + 24.50398 g  

  30720 noerr         0 22  
  30920 noerr        22 22 N     + 24.50398 g  

  30920 noerr         0 22  
  31120 noerr        22 22 N     + 24.50398 g  

  31120 noerr         0 22  
  31320 noerr        22 22 N     + 24.50398 g  

  31320 noerr         0 22  
  31520 noerr        22 22 N     + 24.50398 g  

  31520 noerr         0 22  
  31719 noerr        22 22 N     + 24.50398 g  

  31720 noerr         0 22  
  31920 noerr        22 22 N     + 24.50398 g  

  31920 noerr         0 22  
  32120 noerr        22 22 N     + 24.50398 g  

  32120 noerr         0 22  
  32320 noerr        22 22 N     + 24.50398 g  

  32320 noerr         0 22  
  32520 noerr        22 22 N     + 24.50398 g  

  32520 noerr         0 22  
  32721 noerr        22 22 N     + 24.50398 g  

  32721 noerr         0 22  
  32920 noerr        22 22 N     + 24.50398 g  

  32921 noerr         0 22  
  33121 noerr        22 22 N     + 24.50398 g  

  33121 noerr         0 22  
  33321 noerr        22 22 N     + 24.50398 g  

  33321 noerr         0 22  
  33521 noerr        22 22 N     + 24.50398 g  

  33521 noerr         0 22  
  33721 noerr        22 22 N     + 24.50398 g  

  33721 noerr         0 22  
  33921 noerr        22 22 N     + 24.50398 g  

  33921 noerr         0 22  
  34121 noerr        22 22 N     + 24.50398 g  

  34121 noerr         0 22  
  34321 noerr        22 22 N     + 24.50398 g  

  34321 noerr         0 22  
  34521 noerr        22 22 N     + 24.50398 g  

  34521 noerr         0 22  
  34720 noerr        22 22 N     + 24.50398 g  

  34721 noerr         0 22  
  34921 noerr        22 22 N     + 24.50398 g  

  34921 noerr         0 22  
  35121 noerr        22 22 N     + 24.50398 g  

